iter	Logloss
0	0.6606923345
1	0.6375165575
2	0.6164800614
3	0.5992499516
4	0.5782526597
5	0.5584385131
6	0.543225358
7	0.5302657562
8	0.515637394
9	0.5024951267
10	0.4912803184
11	0.4807017287
12	0.4713486476
13	0.4634951389
14	0.4569222938
15	0.4487467377
16	0.4415777075
17	0.4369201016
18	0.4319423642
19	0.4266037283
20	0.4220506134
21	0.4180899401
22	0.4141349763
23	0.4125241763
24	0.4108580073
25	0.4075084673
26	0.4046161192
27	0.4020443365
28	0.4011959454
29	0.3988352967
30	0.3960775723
31	0.3932894696
32	0.3926320239
33	0.3907737554
34	0.388586153
35	0.3866152539
36	0.3852524092
37	0.3832728376
38	0.3822283025
39	0.3809620715
40	0.378706126
41	0.377213868
42	0.376106991
43	0.374380683
44	0.3732150478
45	0.371617299
46	0.3708080099
47	0.369989761
48	0.368947607
49	0.3677703633
50	0.3670761917
51	0.3665179542
52	0.3655377067
53	0.3651162215
54	0.3647394912
55	0.364059641
56	0.3633037777
57	0.3621792203
58	0.3612113691
59	0.3601843457
60	0.359190307
61	0.3587480428
62	0.357087587
63	0.3562325261
64	0.3554864624
65	0.3549914485
66	0.3544976947
67	0.353267296
68	0.3524811763
69	0.3520178888
70	0.3511579547
71	0.3504635054
72	0.3497147481
73	0.3481259874
74	0.3476750684
75	0.346857731
76	0.3459850197
77	0.3448958173
78	0.3438270432
79	0.343111447
80	0.3422998792
81	0.3418740339
82	0.3412694106
83	0.3404841491
84	0.3400473471
85	0.3389706219
86	0.3384320911
87	0.3378382899
88	0.3374753004
89	0.3368047553
90	0.3365131999
91	0.3358807836
92	0.3351072808
93	0.3346459709
94	0.3344832069
95	0.3342805619
96	0.3337827689
97	0.3333982199
98	0.3331748088
99	0.3326413518
100	0.3319167888
101	0.3309980397
102	0.3305779241
103	0.3300196675
104	0.3294910425
105	0.3289751871
106	0.3284118052
107	0.3281346696
108	0.3277488593
109	0.3271995562
110	0.3267817357
111	0.32613073
112	0.3258355511
113	0.3252053591
114	0.3242598867
115	0.323807976
116	0.3237966147
117	0.3235218383
118	0.3227444436
119	0.3216424564
120	0.3213592764
121	0.3209766417
122	0.320283349
123	0.3197802393
124	0.3193447581
125	0.319106476
126	0.3184747056
127	0.3180966998
128	0.3179080778
129	0.317542844
130	0.3166511193
131	0.3166179303
132	0.3161780216
133	0.3156861552
134	0.3154617332
135	0.3153148612
136	0.3149564079
137	0.3145715502
138	0.3142252505
139	0.3139716419
140	0.3134734156
141	0.3130064125
142	0.3128478927
143	0.3123106839
144	0.3118935412
145	0.3115649588
146	0.3105549072
147	0.3104624574
148	0.3087880681
149	0.308346291
150	0.3078846348
151	0.3076896795
152	0.307427334
153	0.3072583531
154	0.3071107167
155	0.3063176732
156	0.3059765165
157	0.3054070363
158	0.3048180477
159	0.3045557297
160	0.3041753493
161	0.3038852224
162	0.3031084657
163	0.3027950952
164	0.3024455677
165	0.3013393287
166	0.3002212546
167	0.2999655852
168	0.2994389475
169	0.2990042049
170	0.2985427096
171	0.2979139305
172	0.2973279654
173	0.2964611412
174	0.2961571049
175	0.2959191996
176	0.2958660057
177	0.2954469095
178	0.2943744108
179	0.2939529967
180	0.2925939697
181	0.2923742919
182	0.2915441658
183	0.291120205
184	0.2908066233
185	0.2903138292
186	0.2897949482
187	0.2895073685
188	0.2892417801
189	0.2889028071
190	0.2881129152
191	0.2877803724
192	0.2871806815
193	0.2865897824
194	0.285713855
195	0.2856313521
196	0.2851061706
197	0.2842000528
198	0.2837577059
199	0.2831844095
200	0.2828388542
201	0.2825116215
202	0.282166227
203	0.2819121773
